distance,length,replicate,num_taxa,alpha,model,true_identity_mean,true_identity_min,true_identity_max,true_identity_std,true_gap_mean,true_aligned_length,mafft_identity_mean,mafft_identity_min,mafft_identity_max,mafft_identity_std,mafft_gap_mean,mafft_aligned_length,psa_identity_mean,psa_identity_min,psa_identity_max,psa_identity_std
0.1,100,48,32,1.0,LG+G4,0.9297869441933506,0.8488372093023255,1.0,0.03163452314717693,0.11811926605504589,109,0.927795851237404,0.8205128205128205,1.0,0.03417851168857387,0.10163551401869159,107,0.9178580085479399,0.8636363636363636,0.968421052631579,0.028704709691979493
0.1,100,49,32,1.0,LG+G4,0.9129237834701015,0.7804878048780488,1.0,0.04479276558451501,0.15783898305084745,118,0.9096179763990371,0.7804878048780488,1.0,0.04541926890378061,0.14331896551724138,116,0.9272970033904112,0.8673469387755102,0.97,0.03327538116430599
0.1,100,50,32,1.0,LG+G4,0.9484731449847837,0.8526315789473684,1.0,0.027745807955854494,0.08353365384615384,104,0.9484731449847837,0.8526315789473684,1.0,0.027745807955854494,0.08353365384615384,104,0.9453419212366578,0.8842105263157894,0.99,0.028689508215175883
0.1,100,51,32,1.0,LG+G4,0.9155111900424504,0.6666666666666666,1.0,0.0498592414879804,0.1404733009708738,103,0.9110182989326616,0.0,1.0,0.07622909175448098,0.1404733009708738,103,0.9344087613518665,0.8333333333333334,1.0,0.05975051448484909
0.1,100,52,32,1.0,LG+G4,0.8990408443432921,0.7752808988764045,1.0,0.0435231222170771,0.1626059322033898,118,0.8976374406465653,0.7752808988764045,1.0,0.04395260331915412,0.15544871794871795,117,0.8961694894189361,0.8152173913043478,0.97,0.04681219194193361
0.1,100,53,32,1.0,LG+G4,0.9172566477263923,0.7959183673469388,1.0,0.038239499688783915,0.04567307692307692,104,0.9166105719401653,0.7959183673469388,1.0,0.038401944532805696,0.04567307692307692,104,0.9291234545468713,0.875,0.9797979797979798,0.03283473019650768
0.1,100,54,32,1.0,LG+G4,0.9482156080166828,0.851063829787234,1.0,0.030675020269521475,0.023590686274509803,102,0.9482156080166828,0.851063829787234,1.0,0.030675020269521475,0.023590686274509803,102,0.9524826368743895,0.8645833333333334,0.99,0.03788917682523179
0.1,100,55,32,1.0,LG+G4,0.914837767710694,0.81,1.0,0.039025954131770436,0.12982954545454545,110,0.9131468997563916,0.8,1.0,0.040497831723149316,0.12982954545454545,110,0.8955592424667357,0.8307692307692308,0.9787234042553191,0.042457252987677205
0.1,100,56,32,1.0,LG+G4,0.9596091182314302,0.8571428571428571,1.0,0.02709331977899269,0.0875,100,0.9596091182314302,0.8571428571428571,1.0,0.02709331977899269,0.0875,100,0.9626373626373627,0.9120879120879121,1.0,0.029974025707661233
0.1,100,57,32,1.0,LG+G4,0.9253013688465619,0.8,1.0,0.0446207150909882,0.07970183486238533,109,0.9253013688465619,0.8,1.0,0.0446207150909882,0.07970183486238533,109,0.9332323232323231,0.84,0.99,0.047257933165232906
0.1,100,58,32,1.0,LG+G4,0.9063696746879196,0.7894736842105263,1.0,0.04432610256078275,0.07856308411214952,107,0.9049727783274661,0.7684210526315789,1.0,0.04669125058073579,0.07856308411214952,107,0.9151832687614945,0.8051948051948052,0.99,0.0517295118629462
0.1,100,59,32,1.0,LG+G4,0.9238857743560009,0.8539325842696629,1.0,0.0301776506047209,0.3866947852760736,163,0.922644290535659,0.8333333333333334,1.0,0.03171820688543111,0.37519531250000004,160,0.9065117008595269,0.8222222222222222,0.9595959595959596,0.03574630799991002
0.1,100,60,32,1.0,LG+G4,0.9388818689058535,0.8673469387755102,1.0,0.026911883437992855,0.06370192307692307,104,0.933873162168093,0.8571428571428571,1.0,0.02864682875922201,0.05461165048543689,103,0.9533650793650794,0.91,0.99,0.02546407762282297
0.1,100,61,32,1.0,LG+G4,0.9328358273046874,0.82,1.0,0.0338693871684186,0.25068430656934304,137,0.9328186602654029,0.82,1.0,0.03390843579795854,0.24517463235294115,136,0.9196228956228958,0.8484848484848485,0.98,0.03560964409537029
0.1,100,62,32,1.0,LG+G4,0.909726214875915,0.7878787878787878,1.0,0.043355798735082024,0.15182522123893805,113,0.909793848678612,0.7878787878787878,1.0,0.043413766142940236,0.15182522123893805,113,0.9023677561578969,0.8088235294117647,0.968421052631579,0.04778072730358452
0.1,100,63,32,1.0,LG+G4,0.9466359664813707,0.8383838383838383,1.0,0.029566013407290523,0.46601159793814434,194,0.9457387051534538,0.6691176470588235,1.0,0.03419758393430013,0.32291666666666663,153,0.9408458883206364,0.8541666666666666,0.99,0.03750894306359199
0.1,100,64,32,1.0,LG+G4,0.9259593644954769,0.7567567567567568,1.0,0.04327155175457569,0.030625,100,0.9251201759430996,0.7567567567567568,1.0,0.043339927399777545,0.030625,100,0.9363282143582895,0.8571428571428571,0.9894736842105263,0.03769949030098985
0.1,100,65,32,1.0,LG+G4,0.9404379913762976,0.8414634146341463,1.0,0.029800993660925094,0.03217821782178218,101,0.9383278490395007,0.8292682926829268,1.0,0.03143869099327288,0.03217821782178218,101,0.9503044733044733,0.8928571428571429,0.99,0.025371377202677823
0.1,100,66,32,1.0,LG+G4,0.9286425487787656,0.8241758241758241,1.0,0.03502546866745267,0.3374594155844156,154,0.9286425487787656,0.8241758241758241,1.0,0.03502546866745267,0.3374594155844156,154,0.9096525293909256,0.8241758241758241,0.99,0.041010963958024574
0.1,100,67,32,1.0,LG+G4,0.9387431507304779,0.8585858585858586,1.0,0.02891357801236662,0.012376237623762377,101,0.9386812246892892,0.8585858585858586,1.0,0.029033645224062578,0.012376237623762377,101,0.9354588057445201,0.8877551020408163,0.99,0.028649456220671082
0.1,100,68,32,1.0,LG+G4,0.9394740378193261,0.8333333333333334,1.0,0.036636714775641344,0.04362623762376237,101,0.9337744351280314,0.75,1.0,0.04907585073943212,0.04362623762376237,101,0.9389929732103645,0.8686868686868687,0.97,0.02842278381706173
0.1,100,69,32,1.0,LG+G4,0.9140016368120973,0.8367346938775511,1.0,0.03738916656018839,0.06426886792452831,106,0.9132002630877697,0.826530612244898,1.0,0.038342159478033835,0.055357142857142855,105,0.9063118881624103,0.8387096774193549,0.98,0.039526597963675185
0.1,100,70,32,1.0,LG+G4,0.9300266340695321,0.83,1.0,0.033477559315864394,0.009375000000000001,100,0.9299839833735483,0.83,1.0,0.0334154952273808,0.009375000000000001,100,0.9233993824504968,0.87,0.98,0.03461664658422606
0.1,100,71,32,1.0,LG+G4,0.9329415243850675,0.8484848484848485,1.0,0.029428734528140727,0.11869266055045873,109,0.9327077591710479,0.8484848484848485,1.0,0.02934353168864899,0.1105324074074074,108,0.927483455242076,0.8977272727272727,0.9595959595959596,0.020314272793569624
0.1,100,72,32,1.0,LG+G4,0.9199174189505661,0.75,1.0,0.0575151439879338,0.4873143564356436,101,0.8834998154966724,0.6944444444444444,1.0,0.09163459982899197,0.4873143564356436,101,0.9281481481481482,0.8333333333333334,0.9722222222222222,0.05165836917309857
