experiment_id,experiment_name,model,dist_model,num_taxa,distance,length,alpha,ics_prop,replicate,pipeline,rf_distance,nrf_distance,best_model_bic,gamma_alpha
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,55,MSA+ML,6,0.103448,LG+G4,0.9396
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,56,MSA+ML,4,0.068966,LG+G4,0.8326
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,57,MSA+ML,4,0.068966,LG+G4,1.0987
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,58,MSA+ML,2,0.034483,LG+G4,1.0889
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,59,MSA+ML,2,0.034483,LG+G4,1.1861
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,5,MSA+ML,0,0.0,LG+G4,0.8936
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,60,MSA+ML,4,0.068966,LG+G4,1.0934
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,61,MSA+ML,6,0.103448,LG+G4,1.1162
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,62,MSA+ML,6,0.103448,LG+G4,1.0591
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,63,MSA+ML,2,0.034483,LG+G4,1.2801
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,64,MSA+ML,8,0.137931,LG+G4,1.2039
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,65,MSA+ML,2,0.034483,LG+G4,0.9161
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,66,MSA+ML,2,0.034483,LG+G4,1.0747
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,67,MSA+ML,4,0.068966,LG+I,
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,68,MSA+ML,4,0.068966,Q.PFAM+G4,1.5714
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,69,MSA+ML,0,0.0,LG+G4,0.9229
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,6,MSA+ML,10,0.172414,Q.PFAM+G4,1.0997
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,70,MSA+ML,12,0.206897,LG+G4,0.9075
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,71,MSA+ML,4,0.068966,Q.PFAM+G4,0.9646
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,72,MSA+ML,8,0.137931,LG+G4,1.1136
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,73,MSA+ML,2,0.034483,LG+G4,0.9923
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,74,MSA+ML,2,0.034483,LG+G4,0.8407
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,75,MSA+ML,2,0.034483,LG+I,
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,76,MSA+ML,2,0.034483,LG+G4,0.7694
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,77,MSA+ML,6,0.103448,LG+G4,1.4755
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,78,MSA+ML,4,0.068966,LG+G4,1.1867
