ARATH	3702	131567 (no rank), 2759 (domain), 33090 (kingdom), 35493 (phylum), 131221 (subphylum), 3193 (clade), 58023 (clade), 78536 (clade), 58024 (clade), 3398 (class), 1437183 (clade), 71240 (clade), 91827 (clade), 1437201 (clade), 71275 (clade), 91836 (clade), 3699 (order), 3700 (family), 980083 (tribe), 3701 (genus), 3702 (leaf)
MACMU	9544	131567 (no rank), 2759 (domain), 33154 (clade), 33208 (kingdom), 6072 (clade), 33213 (clade), 33511 (clade), 7711 (phylum), 89593 (subphylum), 7742 (clade), 7776 (clade), 117570 (clade), 117571 (clade), 8287 (superclass), 1338369 (clade), 32523 (clade), 32524 (clade), 40674 (class), 32525 (clade), 9347 (clade), 1437010 (clade), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314294 (superfamily), 9527 (family), 9528 (subfamily), 9539 (genus), 9544 (leaf)
PHYPA	3218	131567 (no rank), 2759 (domain), 33090 (kingdom), 35493 (phylum), 131221 (subphylum), 3193 (clade), 3208 (clade), 404260 (clade), 3214 (class), 114656 (subclass), 3215 (order), 3216 (family), 37414 (genus), 3218 (leaf)
CHLRE	3055	131567 (no rank), 2759 (domain), 33090 (kingdom), 3041 (phylum), 2692248 (clade), 3166 (class), 2812636 (clade), 3042 (order), 3051 (family), 3052 (genus), 3055 (leaf)
ANOGA	7165	131567 (no rank), 2759 (domain), 33154 (clade), 33208 (kingdom), 6072 (clade), 33213 (clade), 33317 (clade), 1206794 (clade), 88770 (clade), 6656 (phylum), 197563 (clade), 197562 (clade), 6960 (subphylum), 50557 (class), 85512 (clade), 7496 (subclass), 33340 (infraclass), 33392 (cohort), 7147 (order), 7148 (suborder), 43786 (infraorder), 41827 (superfamily), 7157 (family), 43816 (subfamily), 7164 (genus), 44534 (subgenus), 44537 (clade), 44542 (no rank), 7165 (leaf)
BATDJ	684364	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 112252 (no rank), 4761 (phylum), 2683659 (no rank), 451435 (class), 451442 (order), 1142503 (no rank), 100474 (genus), 109871 (species), 684364 (leaf)
TRICA	7070	131567 (no rank), 2759 (domain), 33154 (clade), 33208 (kingdom), 6072 (clade), 33213 (clade), 33317 (clade), 1206794 (clade), 88770 (clade), 6656 (phylum), 197563 (clade), 197562 (clade), 6960 (subphylum), 50557 (class), 85512 (clade), 7496 (subclass), 33340 (infraclass), 33392 (cohort), 7041 (order), 41084 (suborder), 41088 (infraorder), 71527 (superfamily), 7065 (family), 1304792 (no rank), 7069 (genus), 7070 (leaf)
MAIZE	4577	131567 (no rank), 2759 (domain), 33090 (kingdom), 35493 (phylum), 131221 (subphylum), 3193 (clade), 58023 (clade), 78536 (clade), 58024 (clade), 3398 (class), 1437183 (clade), 4447 (clade), 1437197 (subclass), 4734 (clade), 38820 (order), 4479 (family), 147370 (clade), 147369 (subfamily), 1648033 (no rank), 147429 (tribe), 1648029 (subtribe), 4575 (genus), 4577 (leaf)
XENTR	8364	131567 (no rank), 2759 (domain), 33154 (clade), 33208 (kingdom), 6072 (clade), 33213 (clade), 33511 (clade), 7711 (phylum), 89593 (subphylum), 7742 (clade), 7776 (clade), 117570 (clade), 117571 (clade), 8287 (superclass), 1338369 (clade), 32523 (clade), 8292 (class), 41666 (superorder), 8342 (order), 30319 (superfamily), 8352 (family), 8360 (subfamily), 8353 (genus), 8363 (subgenus), 8364 (leaf)
CIOIN	7719	131567 (no rank), 2759 (domain), 33154 (clade), 33208 (kingdom), 6072 (clade), 33213 (clade), 33511 (clade), 7711 (phylum), 7712 (subphylum), 7713 (class), 7716 (order), 7717 (family), 7718 (genus), 7719 (leaf)
PUCGT	418459	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 5204 (phylum), 29000 (subphylum), 162484 (class), 5258 (order), 5262 (family), 5296 (genus), 5297 (species), 56615 (no rank), 418459 (leaf)
BOVIN	9913	131567 (no rank), 2759 (domain), 33154 (clade), 33208 (kingdom), 6072 (clade), 33213 (clade), 33511 (clade), 7711 (phylum), 89593 (subphylum), 7742 (clade), 7776 (clade), 117570 (clade), 117571 (clade), 8287 (superclass), 1338369 (clade), 32523 (clade), 32524 (clade), 40674 (class), 32525 (clade), 9347 (clade), 1437010 (clade), 314145 (superorder), 91561 (order), 9845 (suborder), 35500 (infraorder), 9895 (family), 27592 (subfamily), 9903 (genus), 9913 (leaf)
HELRO	6412	131567 (no rank), 2759 (domain), 33154 (clade), 33208 (kingdom), 6072 (clade), 33213 (clade), 33317 (clade), 2697495 (clade), 1206795 (clade), 6340 (phylum), 42113 (class), 55824 (subclass), 6406 (order), 6407 (family), 6411 (genus), 6412 (leaf)
LEPOC	7918	131567 (no rank), 2759 (domain), 33154 (clade), 33208 (kingdom), 6072 (clade), 33213 (clade), 33511 (clade), 7711 (phylum), 89593 (subphylum), 7742 (clade), 7776 (clade), 117570 (clade), 117571 (clade), 7898 (superclass), 186623 (class), 41665 (subclass), 1489100 (infraclass), 7914 (order), 7915 (family), 7916 (genus), 7918 (leaf)
ORYSJ	39947	131567 (no rank), 2759 (domain), 33090 (kingdom), 35493 (phylum), 131221 (subphylum), 3193 (clade), 58023 (clade), 78536 (clade), 58024 (clade), 3398 (class), 1437183 (clade), 4447 (clade), 1437197 (subclass), 4734 (clade), 38820 (order), 4479 (family), 359160 (clade), 147367 (subfamily), 147380 (tribe), 1648021 (subtribe), 4527 (genus), 4530 (species), 39947 (leaf)
XENLA	8355	131567 (no rank), 2759 (domain), 33154 (clade), 33208 (kingdom), 6072 (clade), 33213 (clade), 33511 (clade), 7711 (phylum), 89593 (subphylum), 7742 (clade), 7776 (clade), 117570 (clade), 117571 (clade), 8287 (superclass), 1338369 (clade), 32523 (clade), 8292 (class), 41666 (superorder), 8342 (order), 30319 (superfamily), 8352 (family), 8360 (subfamily), 8353 (genus), 262014 (subgenus), 8355 (leaf)
CANLF	9615	131567 (no rank), 2759 (domain), 33154 (clade), 33208 (kingdom), 6072 (clade), 33213 (clade), 33511 (clade), 7711 (phylum), 89593 (subphylum), 7742 (clade), 7776 (clade), 117570 (clade), 117571 (clade), 8287 (superclass), 1338369 (clade), 32523 (clade), 32524 (clade), 40674 (class), 32525 (clade), 9347 (clade), 1437010 (clade), 314145 (superorder), 33554 (order), 379584 (suborder), 9608 (family), 9611 (genus), 9612 (species), 9615 (leaf)
